instance,operational_cost,loss_cost,objective_value,optimal_objective_value,feasible,mean_loss_load_over_demand,std_loss_load_over_demand,training_time,inference_time
229,2277.26,126293.23828125,128570.49829101562,42105.88,True,0.58158743,0.5745678,21.02605390548706,
230,2274.2764,156264.984375,158539.2607421875,63199.844,True,1.101942,0.46979254,21.02605390548706,
231,2276.1414,20428.03271484375,22704.174072265625,6812.817,True,0.61234385,0.94346136,21.02605390548706,
232,2274.682,102464.015625,104738.69750976562,38424.52,True,1.0426137,0.6167581,21.02605390548706,
233,2276.0117,136754.109375,139030.12109375,45592.133,True,0.78777474,0.3846667,21.02605390548706,
234,2274.6846,159075.2578125,161349.9423828125,60915.95,True,1.0089881,0.39053923,21.02605390548706,
235,2278.0557,45425.49609375,47703.5517578125,15147.039,True,0.2408579,0.95449793,21.02605390548706,
236,2277.9336,74365.96875,76643.90234375,24794.871,True,0.4139297,0.9679825,21.02605390548706,
237,2274.2764,230947.9921875,233222.2685546875,92004.51,True,1.0851523,0.35263243,21.02605390548706,
238,2274.318,135262.6640625,137536.98217773438,54626.953,True,1.18124,0.62804013,21.02605390548706,
239,2276.61,119957.7421875,122234.35229492188,39993.383,True,0.649862,0.5253987,21.02605390548706,
240,2274.9417,215340.3515625,217615.29321289062,80480.65,True,0.9481366,0.3073518,21.02605390548706,
241,2275.4363,200647.125,202922.56127929688,74523.92,True,0.87409645,0.39182156,21.02605390548706,
242,2276.341,87052.7109375,89329.05200195312,29023.674,True,0.6891512,0.55585515,21.02605390548706,
243,2274.2764,144336.609375,146610.8857421875,58198.35,True,1.1530942,0.5566618,21.02605390548706,
244,2274.2764,140404.13671875,142678.4130859375,56908.36,True,1.1632795,0.57896703,21.02605390548706,
245,2275.782,145492.9921875,147768.77416992188,48505.156,True,0.8002138,0.36658835,21.02605390548706,
246,2274.2764,190861.41796875,193135.6943359375,76473.914,True,1.0842413,0.39428777,21.02605390548706,
247,2274.2764,107444.77734375,109719.0537109375,43841.723,True,1.1982607,0.70958376,21.02605390548706,
248,2274.4695,161291.7890625,163566.25854492188,63667.406,True,1.0547767,0.43447945,21.02605390548706,
249,2278.855,99386.015625,101664.87060546875,33136.523,True,0.2391638,0.7094726,21.02605390548706,
250,2274.2764,154786.41796875,157060.6943359375,62261.69,True,1.1369945,0.5158993,21.02605390548706,
251,2276.456,52950.66796875,55227.1240234375,17655.14,True,0.6397355,0.7650354,21.02605390548706,
252,2274.2764,195556.9453125,197831.2216796875,78178.16,True,1.1085755,0.4195521,21.02605390548706,
253,2274.2764,216842.4375,219116.7138671875,86489.45,True,1.0882095,0.3698357,21.02605390548706,
254,2274.2764,115352.40234375,117626.6787109375,46777.758,True,1.1161592,0.58182955,21.02605390548706,
255,2276.799,158963.0390625,161239.83813476562,55981.74,True,0.64755803,0.6291617,21.02605390548706,
256,2274.2764,154088.35546875,156362.6318359375,62026.43,True,1.124719,0.50119764,21.02605390548706,
257,2274.2764,124660.72265625,126934.9990234375,50599.086,True,1.176823,0.6319163,21.02605390548706,
